ts;Time;temp1;temp2;Package id 0;Core 0;Core 1
1554128774;2019-04-01:18:26;+27.8;	+29.8;	+59.0;	+59.0;	+56.0
1554128777;2019-04-01:18:26;+27.8;	+29.8;	+58.0;	+58.0;	+54.0
1554128780;2019-04-01:18:26;+27.8;	+29.8;	+58.0;	+58.0;	+54.0
1554128783;2019-04-01:18:26;+27.8;	+29.8;	+58.0;	+58.0;	+55.0
1554128786;2019-04-01:18:26;+27.8;	+29.8;	+59.0;	+59.0;	+56.0
1554128789;2019-04-01:18:26;+27.8;	+29.8;	+59.0;	+59.0;	+54.0
1554128792;2019-04-01:18:26;+27.8;	+29.8;	+59.0;	+59.0;	+54.0
1554128795;2019-04-01:18:26;+27.8;	+29.8;	+56.0;	+56.0;	+55.0
1554128798;2019-04-01:18:26;+27.8;	+29.8;	+59.0;	+59.0;	+55.0
1554128801;2019-04-01:18:26;+27.8;	+29.8;	+59.0;	+59.0;	+55.0
1554128804;2019-04-01:18:26;+27.8;	+29.8;	+59.0;	+59.0;	+55.0
1554128807;2019-04-01:18:26;+27.8;	+29.8;	+59.0;	+59.0;	+55.0
1554128810;2019-04-01:18:26;+27.8;	+29.8;	+59.0;	+59.0;	+56.0
1554128813;2019-04-01:18:26;+27.8;	+29.8;	+58.0;	+58.0;	+55.0
1554128816;2019-04-01:18:26;+27.8;	+29.8;	+59.0;	+59.0;	+55.0
1554128819;2019-04-01:18:26;+27.8;	+29.8;	+59.0;	+59.0;	+56.0
1554128822;2019-04-01:18:27;+27.8;	+29.8;	+59.0;	+59.0;	+55.0
1554128825;2019-04-01:18:27;+27.8;	+29.8;	+58.0;	+58.0;	+55.0
1554128828;2019-04-01:18:27;+27.8;	+29.8;	+59.0;	+59.0;	+56.0
1554128831;2019-04-01:18:27;+27.8;	+29.8;	+59.0;	+59.0;	+56.0
1554128834;2019-04-01:18:27;+27.8;	+29.8;	+60.0;	+60.0;	+55.0
1554128837;2019-04-01:18:27;+27.8;	+29.8;	+59.0;	+59.0;	+55.0
1554128840;2019-04-01:18:27;+27.8;	+29.8;	+59.0;	+59.0;	+55.0
1554128843;2019-04-01:18:27;+27.8;	+29.8;	+59.0;	+59.0;	+56.0
1554128846;2019-04-01:18:27;+27.8;	+29.8;	+59.0;	+59.0;	+56.0
1554128849;2019-04-01:18:27;+27.8;	+29.8;	+59.0;	+59.0;	+56.0
1554128852;2019-04-01:18:27;+27.8;	+29.8;	+60.0;	+60.0;	+55.0
1554128855;2019-04-01:18:27;+27.8;	+29.8;	+59.0;	+59.0;	+55.0
1554128859;2019-04-01:18:27;+27.8;	+29.8;	+59.0;	+59.0;	+56.0
1554128862;2019-04-01:18:27;+27.8;	+29.8;	+61.0;	+61.0;	+56.0
1554128865;2019-04-01:18:27;+27.8;	+29.8;	+61.0;	+61.0;	+57.0
1554128868;2019-04-01:18:27;+27.8;	+29.8;	+60.0;	+60.0;	+56.0
1554128871;2019-04-01:18:27;+27.8;	+29.8;	+60.0;	+60.0;	+55.0
1554128874;2019-04-01:18:27;+27.8;	+29.8;	+60.0;	+60.0;	+56.0
1554128877;2019-04-01:18:27;+27.8;	+29.8;	+59.0;	+59.0;	+56.0
1554128880;2019-04-01:18:28;+27.8;	+29.8;	+60.0;	+60.0;	+55.0
1554128883;2019-04-01:18:28;+27.8;	+29.8;	+60.0;	+60.0;	+58.0
1554128886;2019-04-01:18:28;+27.8;	+29.8;	+58.0;	+58.0;	+56.0
1554128889;2019-04-01:18:28;+27.8;	+29.8;	+59.0;	+59.0;	+56.0
1554128892;2019-04-01:18:28;+27.8;	+29.8;	+61.0;	+61.0;	+56.0
1554128895;2019-04-01:18:28;+27.8;	+29.8;	+59.0;	+59.0;	+56.0
1554128898;2019-04-01:18:28;+27.8;	+29.8;	+59.0;	+59.0;	+57.0
1554128901;2019-04-01:18:28;+27.8;	+29.8;	+61.0;	+61.0;	+57.0
1554128904;2019-04-01:18:28;+27.8;	+29.8;	+60.0;	+60.0;	+56.0
1554128907;2019-04-01:18:28;+27.8;	+29.8;	+59.0;	+59.0;	+57.0
1554128910;2019-04-01:18:28;+27.8;	+29.8;	+59.0;	+59.0;	+57.0
1554128913;2019-04-01:18:28;+27.8;	+29.8;	+59.0;	+59.0;	+56.0
1554128916;2019-04-01:18:28;+27.8;	+29.8;	+59.0;	+59.0;	+56.0
