ts;Time;temp1;temp2;Package-id-0;Core-0-temp;Core-1-temp;Thread-0-freq;Thread-1-freq;Thread-2-freq;Thread-3-freq;
1555161023;2019-04-13-17:10;+27.8;+29.8;+34.0;+33.0;+33.0;800.025;800.105;800.021;800.033;
1555161026;2019-04-13-17:10;+27.8;+29.8;+34.0;+33.0;+32.0;3015.570;3120.638;2909.957;3094.275;
1555161029;2019-04-13-17:10;+27.8;+29.8;+35.0;+32.0;+32.0;2567.237;2622.464;2099.666;2269.972;
1555161032;2019-04-13-17:10;+27.8;+29.8;+34.0;+32.0;+32.0;2757.403;2838.405;3028.175;3066.114;
1555161035;2019-04-13-17:10;+27.8;+29.8;+35.0;+32.0;+32.0;3230.678;3231.156;3204.954;2787.965;
